source_ID,source_name,source_type,mapping_type,target_ID,target_name,target_type,mapping_description
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1059.001,PowerShell,Technique,Anti-virus can be used to automatically quarantine suspicious files. 
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1059.006,Python,Technique,Anti-virus can be used to automatically quarantine suspicious files. 
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1027.002,Software Packing,Technique,Employ heuristic-based malware detection. Ensure updated virus definitions and create custom signatures for observed malware. 
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1566.001,Spearphishing Attachment,Technique,Anti-virus can also automatically quarantine suspicious files.
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1566.003,Spearphishing via Service,Technique,Anti-virus can also automatically quarantine suspicious files.
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1221,Template Injection,Technique,"Network/Host intrusion prevention systems, antivirus, and detonation chambers can be employed to prevent documents from fetching and/or executing malicious payloads.(Citation: Anomali Template Injection MAR 2018)"
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1059.005,Visual Basic,Technique,Anti-virus can be used to automatically quarantine suspicious files. 
M1013,Application Developer Guidance,Mitigation,MITIGATES,T1574.002,DLL Side-Loading,Technique,"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries.(Citation: FireEye DLL Side-Loading)"
M1013,Application Developer Guidance,Mitigation,MITIGATES,T1574,Hijack Execution Flow,Technique,"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries.(Citation: FireEye DLL Side-Loading)"
M1013,Application Developer Guidance,Mitigation,MITIGATES,T1078,Valid Accounts,Technique,"Ensure that applications do not store sensitive data or credentials insecurely. (e.g. plaintext credentials in code, published credentials in repositories, or credentials in public cloud storage)."
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1559.001,Component Object Model,Technique,Ensure all COM alerts and Protected View are enabled.(Citation: Microsoft Protected View)
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1021.003,Distributed Component Object Model,Technique,Ensure all COM alerts and Protected View are enabled.(Citation: Microsoft Protected View)
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1189,Drive-by Compromise,Technique,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist.(Citation: Windows Blogs Microsoft Edge Sandbox)(Citation: Ars Technica Pwn2Own 2017 VM Escape)

Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist for these types of systems.(Citation: Ars Technica Pwn2Own 2017 VM Escape)"
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1559.002,Dynamic Data Exchange,Technique,Ensure Protected View is enabled.(Citation: Microsoft Protected View)
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1611,Escape to Host,Technique,"Consider utilizing seccomp, seccomp-bpf, or a similar solution that restricts certain system calls such as mount."
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1190,Exploit Public-Facing Application,Technique,Application isolation will limit what other processes and system features the exploited target can access.
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1203,Exploitation for Client Execution,Technique,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. (Citation: Windows Blogs Microsoft Edge Sandbox) (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. Risks of additional exploits and weaknesses in those systems may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)"
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1212,Exploitation for Credential Access,Technique,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist.(Citation: Ars Technica Pwn2Own 2017 VM Escape)
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1211,Exploitation for Defense Evasion,Technique,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1068,Exploitation for Privilege Escalation,Technique,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1210,Exploitation of Remote Services,Technique,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)
M1048,Application Isolation and Sandboxing,Mitigation,MITIGATES,T1559,Inter-Process Communication,Technique,Ensure all COM alerts and Protected View are enabled.(Citation: Microsoft Protected View)
M1047,Audit,Mitigation,MITIGATES,T1558.004,AS-REP Roasting,Technique,Kerberos preauthentication is enabled by default. Older protocols might not support preauthentication therefore it is possible to have this setting disabled. Make sure that all accounts have preauthentication whenever possible and audit changes to setting. Windows tools such as PowerShell may be used to easily find which accounts have preauthentication disabled.  (Citation: Microsoft Preauthentication Jul 2012)(Citation: Stealthbits Cracking AS-REP Roasting Jun 2019)
M1047,Audit,Mitigation,MITIGATES,T1548,Abuse Elevation Control Mechanism,Technique,Check for common UAC bypass weaknesses on Windows systems to be aware of the risk posture and address issues where appropriate.(Citation: Github UACMe)
M1047,Audit,Mitigation,MITIGATES,T1550.001,Application Access Token,Technique,"Administrators can leverage audit tools to monitor actions that can be conducted as a result of OAuth 2.0 access. For instance, audit reports enable admins to identify privilege escalation actions such as role creations or policy modifications, which could be actions performed after initial access."
M1047,Audit,Mitigation,MITIGATES,T1560,Archive Collected Data,Technique,System scans can be performed to identify unauthorized archival utilities.
M1047,Audit,Mitigation,MITIGATES,T1560.001,Archive via Utility,Technique,System scans can be performed to identify unauthorized archival utilities.
M1047,Audit,Mitigation,MITIGATES,T1053.001,At (Linux),Technique,"Scheduled tasks using <code>[at](https://attack.mitre.org/software/S0110)</code> can be audited locally, or through centrally collected logging, using syslog, or auditd events from the host. (Citation: Kifarunix - Task Scheduling in Linux)"
M1047,Audit,Mitigation,MITIGATES,T1053.002,At (Windows),Technique,Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit) Windows operating system also creates a registry key specifically associated with the creation of a scheduled task on the destination host at: Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tree\At1. (Citation: Secureworks - AT.exe Scheduled Task)
M1047,Audit,Mitigation,MITIGATES,T1176,Browser Extensions,Technique, Ensure extensions that are installed are the intended ones as many malicious extensions will masquerade as legitimate ones.
M1047,Audit,Mitigation,MITIGATES,T1612,Build Image on Host,Technique,Audit images deployed within the environment to ensure they do not contain any malicious components.
M1047,Audit,Mitigation,MITIGATES,T1548.002,Bypass User Account Control,Technique,Check for common UAC bypass weaknesses on Windows systems to be aware of the risk posture and address issues where appropriate.(Citation: Github UACMe)
M1047,Audit,Mitigation,MITIGATES,T1087.004,Cloud Account,Technique,Routinely check user permissions to ensure only the expected users have the ability to list IAM identities or otherwise discover cloud accounts.
M1047,Audit,Mitigation,MITIGATES,T1213.001,Confluence,Technique,Consider periodic review of accounts and privileges for critical and sensitive Confluence repositories.
M1047,Audit,Mitigation,MITIGATES,T1578.002,Create Cloud Instance,Technique,Routinely check user permissions to ensure only the expected users have the capability to create new instances.
M1047,Audit,Mitigation,MITIGATES,T1578.001,Create Snapshot,Technique,Routinely check user permissions to ensure only the expected users have the capability to create snapshots and backups.
M1047,Audit,Mitigation,MITIGATES,T1543,Create or Modify System Process,Technique,Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them.
M1047,Audit,Mitigation,MITIGATES,T1552.001,Credentials In Files,Technique,Preemptively search for files containing passwords and take actions to reduce the exposure risk when found.
M1047,Audit,Mitigation,MITIGATES,T1552.002,Credentials in Registry,Technique,Proactively search for credentials within the Registry and attempt to remediate the risk.
M1047,Audit,Mitigation,MITIGATES,T1053.003,Cron,Technique,"Review changes to the <code>cron</code> schedule. <code>cron</code> execution can be reviewed within the <code>/var/log</code> directory. To validate the location of the <code>cron</code> log file, check the syslog config at <code>/etc/rsyslog.conf</code> or <code>/etc/syslog.conf</code> "
M1047,Audit,Mitigation,MITIGATES,T1574.001,DLL Search Order Hijacking,Technique,"Use auditing tools capable of detecting DLL search order hijacking opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for DLL hijacking weaknesses.(Citation: Powersploit)

Use the program sxstrace.exe that is included with Windows along with manual inspection to check manifest files for side-by-side problems in software.(Citation: Microsoft Sxstrace)"
M1047,Audit,Mitigation,MITIGATES,T1530,Data from Cloud Storage Object,Technique,"Frequently check permissions on cloud storage to ensure proper permissions are set to deny open or unprivileged access to resources.(Citation: Amazon S3 Security, 2019)"
M1047,Audit,Mitigation,MITIGATES,T1213,Data from Information Repositories,Technique,Consider periodic review of accounts and privileges for critical and sensitive repositories.
M1047,Audit,Mitigation,MITIGATES,T1578.003,Delete Cloud Instance,Technique,Routinely check user permissions to ensure only the expected users have the capability to delete new instances.
M1047,Audit,Mitigation,MITIGATES,T1562.007,Disable or Modify Cloud Firewall,Technique,Routinely check account role permissions to ensure only expected users and roles have permission to modify cloud firewalls. 
M1047,Audit,Mitigation,MITIGATES,T1484,Domain Policy Modification,Technique,Identify and correct GPO permissions abuse opportunities (ex: GPO modification privileges) using auditing tools such as [BloodHound](https://attack.mitre.org/software/S0521) (version 1.5.1 and later)(Citation: GitHub Bloodhound).
M1047,Audit,Mitigation,MITIGATES,T1482,Domain Trust Discovery,Technique,Map the trusts within existing domains/forests and keep trust relationships to a minimum.
M1047,Audit,Mitigation,MITIGATES,T1114,Email Collection,Technique,"Enterprise email solutions have monitoring mechanisms that may include the ability to audit auto-forwarding rules on a regular basis.

In an Exchange environment, Administrators can use Get-InboxRule to discover and remove potentially malicious auto-forwarding rules.(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2) "
M1047,Audit,Mitigation,MITIGATES,T1114.003,Email Forwarding Rule,Technique,"Enterprise email solutions have monitoring mechanisms that may include the ability to audit auto-forwarding rules on a regular basis.

In an Exchange environment, Administrators can use Get-InboxRule to discover and remove potentially malicious auto-forwarding rules.(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2) "
M1047,Audit,Mitigation,MITIGATES,T1574.005,Executable Installer File Permissions Weakness,Technique,Use auditing tools capable of detecting file system permissions abuse opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for service file system permissions weaknesses.(Citation: Powersploit)
M1047,Audit,Mitigation,MITIGATES,T1606,Forge Web Credentials,Technique,"Administrators should perform an audit of all access lists and the permissions they have been granted to access web applications and services. This should be done extensively on all resources in order to establish a baseline, followed up on with periodic audits of new or updated resources. Suspicious accounts/credentials should be investigated and removed.
 
Enable advanced auditing on ADFS. Check the success and failure audit options in the ADFS Management snap-in. Enable Audit Application Generated events on the AD FS farm via Group Policy Object.(Citation: FireEye ADFS)"
M1047,Audit,Mitigation,MITIGATES,T1484.001,Group Policy Modification,Technique,Identify and correct GPO permissions abuse opportunities (ex: GPO modification privileges) using auditing tools such as [BloodHound](https://attack.mitre.org/software/S0521) (version 1.5.1 and later).(Citation: GitHub Bloodhound)
M1047,Audit,Mitigation,MITIGATES,T1552.006,Group Policy Preferences,Technique,Search SYSVOL for any existing GGPs that may contain credentials and remove them.(Citation: ADSecurity Finding Passwords in SYSVOL)
M1047,Audit,Mitigation,MITIGATES,T1574,Hijack Execution Flow,Technique,"Use auditing tools capable of detecting hijacking opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for hijacking weaknesses.(Citation: Powersploit)

Use the program sxstrace.exe that is included with Windows along with manual inspection to check manifest files for side-loading vulnerabilities in software.

Find and eliminate path interception weaknesses in program configuration files, scripts, the PATH environment variable, services, and in shortcuts by surrounding PATH variables with quotation marks when functions allow for them. Be aware of the search order Windows uses for executing or loading binaries and use fully qualified paths wherever appropriate.

Clean up old Windows Registry keys when software is uninstalled to avoid keys with no associated legitimate binaries. Periodically search for and correct or report path interception weaknesses on systems that may have been introduced using custom or available tools that report software using insecure path configurations.(Citation: Microsoft CreateProcess)(Citation: Microsoft Dynamic-Link Library Security)(Citation: Vulnerability and Exploit Detector)"
M1047,Audit,Mitigation,MITIGATES,T1525,Implant Internal Image,Technique,Periodically check the integrity of images and containers used in cloud deployments to ensure they have not been modified to include malicious software.
M1047,Audit,Mitigation,MITIGATES,T1546.006,LC_LOAD_DYLIB Addition,Technique,"Binaries can also be baselined for what dynamic libraries they require, and if an app requires a new dynamic library that wasn\u2019t included as part of an update, it should be investigated."
M1047,Audit,Mitigation,MITIGATES,T1053.004,Launchd,Technique,"Audit logging for <code>launchd</code> events in MacOS can be reviewed or centrally collected using multiple options, such as syslog, OpenBSM, or OSquery."
M1047,Audit,Mitigation,MITIGATES,T1204.003,Malicious Image,Technique,Audit images deployed within the environment to ensure they do not contain any malicious components.
M1047,Audit,Mitigation,MITIGATES,T1578,Modify Cloud Compute Infrastructure,Technique,Routinely monitor user permissions to ensure only the expected users have the capability to modify cloud compute infrastructure components.
M1047,Audit,Mitigation,MITIGATES,T1574.007,Path Interception by PATH Environment Variable,Technique,"Find and eliminate path interception weaknesses in program configuration files, scripts, the PATH environment variable, services, and in shortcuts by surrounding PATH variables with quotation marks when functions allow for them. Be aware of the search order Windows uses for executing or loading binaries and use fully qualified paths wherever appropriate.

Clean up old Windows Registry keys when software is uninstalled to avoid keys with no associated legitimate binaries. Periodically search for and correct or report path interception weaknesses on systems that may have been introduced using custom or available tools that report software using insecure path configurations.(Citation: Microsoft CreateProcess)(Citation: Microsoft Dynamic-Link Library Security)(Citation: Vulnerability and Exploit Detector)"
M1047,Audit,Mitigation,MITIGATES,T1574.008,Path Interception by Search Order Hijacking,Technique,"Find and eliminate path interception weaknesses in program configuration files, scripts, the PATH environment variable, services, and in shortcuts by surrounding PATH variables with quotation marks when functions allow for them. Be aware of the search order Windows uses for executing or loading binaries and use fully qualified paths wherever appropriate.

Clean up old Windows Registry keys when software is uninstalled to avoid keys with no associated legitimate binaries. Periodically search for and correct or report path interception weaknesses on systems that may have been introduced using custom or available tools that report software using insecure path configurations.(Citation: Microsoft CreateProcess)(Citation: Microsoft Dynamic-Link Library Security)(Citation: Vulnerability and Exploit Detector)"
M1047,Audit,Mitigation,MITIGATES,T1574.009,Path Interception by Unquoted Path,Technique,"Find and eliminate path interception weaknesses in program configuration files, scripts, the PATH environment variable, services, and in shortcuts by surrounding PATH variables with quotation marks when functions allow for them. Be aware of the search order Windows uses for executing or loading binaries and use fully qualified paths wherever appropriate.

Clean up old Windows Registry keys when software is uninstalled to avoid keys with no associated legitimate binaries. Periodically search for and correct or report path interception weaknesses on systems that may have been introduced using custom or available tools that report software using insecure path configurations.(Citation: Microsoft CreateProcess)(Citation: Microsoft Dynamic-Link Library Security)(Citation: Vulnerability and Exploit Detector)"
M1047,Audit,Mitigation,MITIGATES,T1552.004,Private Keys,Technique,Ensure only authorized keys are allowed access to critical resources and audit access lists regularly.
M1047,Audit,Mitigation,MITIGATES,T1059.006,Python,Technique,Inventory systems for unauthorized Python installations.
M1047,Audit,Mitigation,MITIGATES,T1563.002,RDP Hijacking,Technique,Audit the Remote Desktop Users group membership regularly. Remove unnecessary accounts and groups from Remote Desktop Users groups.
M1047,Audit,Mitigation,MITIGATES,T1542.004,ROMMONkit,Technique,Periodically check the integrity of system image to ensure it has not been modified. (Citation: Cisco IOS Software Integrity Assurance - Image File Integrity) (Citation: Cisco IOS Software Integrity Assurance - Image File Verification) (Citation: Cisco IOS Software Integrity Assurance - Change Control) 
M1047,Audit,Mitigation,MITIGATES,T1021.001,Remote Desktop Protocol,Technique,Audit the Remote Desktop Users group membership regularly. Remove unnecessary accounts and groups from Remote Desktop Users groups.
M1047,Audit,Mitigation,MITIGATES,T1606.002,SAML Tokens,Technique,Enable advanced auditing on AD FS. Check the success and failure audit options in the AD FS Management snap-in. Enable Audit Application Generated events on the AD FS farm via Group Policy Object.(Citation: FireEye ADFS)
M1047,Audit,Mitigation,MITIGATES,T1505.001,SQL Stored Procedures,Technique,Regularly check component software on critical services that adversaries may target for persistence to verify the integrity of the systems and identify if unexpected changes have been made. 
M1047,Audit,Mitigation,MITIGATES,T1053.005,Scheduled Task,Technique,Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit)
M1047,Audit,Mitigation,MITIGATES,T1053,Scheduled Task/Job,Technique,Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit)
M1047,Audit,Mitigation,MITIGATES,T1505,Server Software Component,Technique,Regularly check component software on critical services that adversaries may target for persistence to verify the integrity of the systems and identify if unexpected changes have been made.
M1047,Audit,Mitigation,MITIGATES,T1574.010,Services File Permissions Weakness,Technique,Use auditing tools capable of detecting file system permissions abuse opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for service file system permissions weaknesses.(Citation: Powersploit)
M1047,Audit,Mitigation,MITIGATES,T1213.002,Sharepoint,Technique,Consider periodic review of accounts and privileges for critical and sensitive SharePoint repositories.
M1047,Audit,Mitigation,MITIGATES,T1528,Steal Application Access Token,Technique,"Administrators should perform an audit of all OAuth applications and the permissions they have been granted to access organizational data. This should be done extensively on all applications in order to establish a baseline, followed up on with periodic audits of new or updated applications. Suspicious applications should be investigated and removed."
M1047,Audit,Mitigation,MITIGATES,T1542.005,TFTP Boot,Technique,Periodically check the integrity of the running configuration and system image to ensure they have not been modified. (Citation: Cisco IOS Software Integrity Assurance - Image File Verification) (Citation: Cisco IOS Software Integrity Assurance - Image File Integrity) (Citation: Cisco IOS Software Integrity Assurance - Change Control) 
M1047,Audit,Mitigation,MITIGATES,T1505.002,Transport Agent,Technique,Regularly check component software on critical services that adversaries may target for persistence to verify the integrity of the systems and identify if unexpected changes have been made. 
M1047,Audit,Mitigation,MITIGATES,T1552,Unsecured Credentials,Technique,Preemptively search for files containing passwords or other credentials and take actions to reduce the exposure risk when found.
M1047,Audit,Mitigation,MITIGATES,T1021.005,VNC,Technique,Inventory workstations for unauthorized VNC server software.
M1047,Audit,Mitigation,MITIGATES,T1606.001,Web Cookies,Technique,"Administrators should perform an audit of all access lists and the permissions they have been granted to access web applications and services. This should be done extensively on all resources in order to establish a baseline, followed up on with periodic audits of new or updated resources. Suspicious accounts/credentials should be investigated and removed."
M1047,Audit,Mitigation,MITIGATES,T1543.003,Windows Service,Technique,Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them. 
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1055.004,Asynchronous Procedure Call,Technique,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. 
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1559.002,Dynamic Data Exchange,Technique,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent DDE attacks and spawning of child processes from Office programs.(Citation: Microsoft ASR Nov 2017)(Citation: Enigma Reviving DDE Jan 2018)"
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1055.001,Dynamic-link Library Injection,Technique,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. 
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1055.011,Extra Window Memory Injection,Technique,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. 
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1559,Inter-Process Communication,Technique,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent DDE attacks and spawning of child processes from Office programs.(Citation: Microsoft ASR Nov 2017)(Citation: Enigma Reviving DDE Jan 2018)"
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1055.002,Portable Executable Injection,Technique,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. 
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1055.009,Proc Memory,Technique,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. 
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1055.013,Process Doppelgänging,Technique,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. 
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1055.012,Process Hollowing,Technique,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. 
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1055,Process Injection,Technique,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. 
M1040,Behavior Prevention on Endpoint,Mitigation,MITIGATES,T1055.008,Ptrace System Calls,Technique,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. 
