ID,name,description,url,created,last modified,version,platforms,aliases,type,contributors
S0482,Bundlore,"[Bundlore](https://attack.mitre.org/software/S0482) is adware written for macOS that has been in use since at least 2015. Though categorized as adware, [Bundlore](https://attack.mitre.org/software/S0482) has many features associated with more traditional backdoors.(Citation: MacKeeper Bundlore Apr 2019)",https://attack.mitre.org/software/S0482,1-Jul-20,6-Jul-20,1,macOS,OSX.Bundlore,Malware,
S0025,CALENDAR,[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0025,31-May-17,30-Mar-20,1.2,Windows,,Malware,
S0465,CARROTBALL,[CARROTBALL](https://attack.mitre.org/software/S0465) is an FTP downloader utility that has been in use since at least 2019. [CARROTBALL](https://attack.mitre.org/software/S0465) has been used as a downloader to install [SYSCON](https://attack.mitre.org/software/S0464).(Citation: Unit 42 CARROTBAT January 2020),https://attack.mitre.org/software/S0465,2-Jun-20,10-Jun-20,1,Windows,,Tool,
S0462,CARROTBAT,[CARROTBAT](https://attack.mitre.org/software/S0462) is a customized dropper that has been in use since at least 2017. [CARROTBAT](https://attack.mitre.org/software/S0462) has been used to install [SYSCON](https://attack.mitre.org/software/S0464) and has infrastructure overlap with [KONNI](https://attack.mitre.org/software/S0356).(Citation: Unit 42 CARROTBAT November 2018)(Citation: Unit 42 CARROTBAT January 2020),https://attack.mitre.org/software/S0462,2-Jun-20,15-Jun-20,1,Windows,,Malware,
S0222,CCBkdr,[CCBkdr](https://attack.mitre.org/software/S0222) is malware that was injected into a signed version of CCleaner and distributed from CCleaner's distribution website. (Citation: Talos CCleanup 2017) (Citation: Intezer Aurora Sept 2017),https://attack.mitre.org/software/S0222,18-Apr-18,20-Mar-20,1.2,Windows,,Malware,
S0023,CHOPSTICK,"[CHOPSTICK](https://attack.mitre.org/software/S0023) is a malware family of modular backdoors used by [APT28](https://attack.mitre.org/groups/G0007). It has been used since at least 2012 and is usually dropped on victims as second-stage malware, though it has been used as first-stage malware in several cases. It has both Windows and Linux variants. (Citation: FireEye APT28) (Citation: ESET Sednit Part 2) (Citation: FireEye APT28 January 2017) (Citation: DOJ GRU Indictment Jul 2018) It is tracked separately from the [X-Agent for Android](https://attack.mitre.org/software/S0314).",https://attack.mitre.org/software/S0023,31-May-17,30-Mar-20,2.1,"Linux, Windows","Backdoor.SofacyX, SPLM, X-Agent, Xagent, webhp",Malware,"Richard Gold, Digital Shadows"
S0212,CORALDECK,[CORALDECK](https://attack.mitre.org/software/S0212) is an exfiltration tool used by [APT37](https://attack.mitre.org/groups/G0067). (Citation: FireEye APT37 Feb 2018),https://attack.mitre.org/software/S0212,18-Apr-18,30-Mar-20,1.1,Windows,,Malware,
S0137,CORESHELL,[CORESHELL](https://attack.mitre.org/software/S0137) is a downloader used by [APT28](https://attack.mitre.org/groups/G0007). The older versions of this malware are known as SOURFACE and newer versions as CORESHELL.(Citation: FireEye APT28) (Citation: FireEye APT28 January 2017),https://attack.mitre.org/software/S0137,31-May-17,30-Mar-20,2.1,Windows,"SOURFACE, Sofacy",Malware,
S0527,CSPY Downloader,[CSPY Downloader](https://attack.mitre.org/software/S0527) is a tool designed to evade analysis and download additional payloads used by [Kimsuky](https://attack.mitre.org/groups/G0094).(Citation: Cybereason Kimsuky November 2020),https://attack.mitre.org/software/S0527,9-Nov-20,22-Apr-21,1,Windows,,Tool,
S0119,Cachedump,[Cachedump](https://attack.mitre.org/software/S0119) is a publicly-available tool that program extracts cached password hashes from a system’s registry. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0119,31-May-17,30-Mar-20,1.1,Windows,,Tool,
S0454,Cadelspy,[Cadelspy](https://attack.mitre.org/software/S0454) is a backdoor that has been used by [APT39](https://attack.mitre.org/groups/G0087).(Citation: Symantec Chafer Dec 2015),https://attack.mitre.org/software/S0454,22-May-20,29-May-20,1,Windows,,Malware,
S0274,Calisto,[Calisto](https://attack.mitre.org/software/S0274) is a macOS Trojan that opens a backdoor on the compromised machine. [Calisto](https://attack.mitre.org/software/S0274) is believed to have first been developed in 2016. (Citation: Securelist Calisto July 2018) (Citation: Symantec Calisto July 2018),https://attack.mitre.org/software/S0274,17-Oct-18,30-Mar-20,1.1,macOS,,Malware,"Cody Thomas, SpecterOps"
S0077,CallMe,[CallMe](https://attack.mitre.org/software/S0077) is a Trojan designed to run on Apple OSX. It is based on a publicly available tool called Tiny SHell. (Citation: Scarlet Mimic Jan 2016),https://attack.mitre.org/software/S0077,31-May-17,30-Mar-20,1.1,macOS,,Malware,
S0351,Cannon,[Cannon](https://attack.mitre.org/software/S0351) is a Trojan with variants written in C# and Delphi. It was first observed in April 2018. (Citation: Unit42 Cannon Nov 2018)(Citation: Unit42 Sofacy Dec 2018),https://attack.mitre.org/software/S0351,30-Jan-19,30-Mar-20,1.1,Windows,,Malware,
S0030,Carbanak,"[Carbanak](https://attack.mitre.org/software/S0030) is a full-featured, remote backdoor used by a group of the same name ([Carbanak](https://attack.mitre.org/groups/G0008)). It is intended for espionage, data exfiltration, and providing remote access to infected machines. (Citation: Kaspersky Carbanak) (Citation: FireEye CARBANAK June 2017)",https://attack.mitre.org/software/S0030,31-May-17,1-Apr-21,1.1,Windows,Anunak,Malware,
S0484,Carberp,"[Carberp](https://attack.mitre.org/software/S0484) is a credential and information stealing malware that has been active since at least 2009. [Carberp](https://attack.mitre.org/software/S0484)'s source code was leaked online in 2013, and subsequently used as the foundation for the [Carbanak](https://attack.mitre.org/software/S0030) backdoor.(Citation: Trend Micro Carberp February 2014)(Citation: KasperskyCarbanak)(Citation: RSA Carbanak November 2017)",https://attack.mitre.org/software/S0484,15-Jul-20,10-Aug-20,1,Windows,,Malware,
S0335,Carbon,"[Carbon](https://attack.mitre.org/software/S0335) is a sophisticated, second-stage backdoor and framework that can be used to steal sensitive information from victims. [Carbon](https://attack.mitre.org/software/S0335) has been selectively used by [Turla](https://attack.mitre.org/groups/G0010) to target government and foreign affairs-related organizations in Central Asia.(Citation: ESET Carbon Mar 2017)(Citation: Securelist Turla Oct 2018)",https://attack.mitre.org/software/S0335,29-Jan-19,25-Apr-21,1.2,Windows,,Malware,
S0348,Cardinal RAT,[Cardinal RAT](https://attack.mitre.org/software/S0348) is a potentially low volume remote access trojan (RAT) observed since December 2015. [Cardinal RAT](https://attack.mitre.org/software/S0348) is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.(Citation: PaloAlto CardinalRat Apr 2017),https://attack.mitre.org/software/S0348,30-Jan-19,30-Mar-20,1.1,Windows,,Malware,
S0261,Catchamas,[Catchamas](https://attack.mitre.org/software/S0261) is a Windows Trojan that steals information from compromised systems. (Citation: Symantec Catchamas April 2018),https://attack.mitre.org/software/S0261,17-Oct-18,9-Feb-21,1.1,Windows,,Malware,
S0572,Caterpillar WebShell,[Caterpillar WebShell](https://attack.mitre.org/software/S0572) is a self-developed Web Shell tool created by the group [Volatile Cedar](https://attack.mitre.org/groups/G0123).(Citation: ClearSky Lebanese Cedar Jan 2021) ,https://attack.mitre.org/software/S0572,10-Feb-21,27-Apr-21,1,Windows,,Malware,
S0144,ChChes,[ChChes](https://attack.mitre.org/software/S0144) is a Trojan that appears to be used exclusively by [menuPass](https://attack.mitre.org/groups/G0045). It was used to target Japanese organizations in 2016. Its lack of persistence methods suggests it may be intended as a first-stage tool. (Citation: Palo Alto menuPass Feb 2017) (Citation: JPCERT ChChes Feb 2017) (Citation: PWC Cloud Hopper Technical Annex April 2017),https://attack.mitre.org/software/S0144,31-May-17,30-Mar-20,1.1,Windows,"HAYMAKER, Scorpion",Malware,
S0220,Chaos,"[Chaos](https://attack.mitre.org/software/S0220) is Linux malware that compromises systems by brute force attacks against SSH services. Once installed, it provides a reverse shell to its controllers, triggered by unsolicited packets. (Citation: Chaos Stolen Backdoor)",https://attack.mitre.org/software/S0220,18-Apr-18,1-Jul-20,1.1,Linux,,Malware,
S0107,Cherry Picker,[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker),https://attack.mitre.org/software/S0107,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0020,China Chopper,[China Chopper](https://attack.mitre.org/software/S0020) is a [Web Shell](https://attack.mitre.org/techniques/T1505/003) hosted on Web servers to provide access back into an enterprise network that does not rely on an infected system calling back to a remote command and control server. (Citation: Lee 2013) It has been used by several threat groups. (Citation: Dell TG-3390) (Citation: FireEye Periscope March 2018),https://attack.mitre.org/software/S0020,31-May-17,23-Apr-21,2.2,Windows,,Malware,
S0054,CloudDuke,[CloudDuke](https://attack.mitre.org/software/S0054) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) in 2015. (Citation: F-Secure The Dukes) (Citation: Securelist Minidionis July 2015),https://attack.mitre.org/software/S0054,31-May-17,30-Mar-20,1.1,Windows,"CloudLook, MiniDionis",Malware,
S0154,Cobalt Strike,"[Cobalt Strike](https://attack.mitre.org/software/S0154) is a commercial, full-featured, remote access tool that bills itself as “adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors”. Cobalt Strike’s interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system.(Citation: cobaltstrike manual)

In addition to its own capabilities, [Cobalt Strike](https://attack.mitre.org/software/S0154) leverages the capabilities of other well-known tools such as Metasploit and [Mimikatz](https://attack.mitre.org/software/S0002).(Citation: cobaltstrike manual)",https://attack.mitre.org/software/S0154,14-Dec-17,24-Apr-21,1.6,Windows,,Malware,"Josh Abraham; Martin Sohn Christensen, Improsec"
S0338,Cobian RAT,"[Cobian RAT](https://attack.mitre.org/software/S0338) is a backdoor, remote access tool that has been observed since 2016.(Citation: Zscaler Cobian Aug 2017)",https://attack.mitre.org/software/S0338,29-Jan-19,30-Mar-20,1.1,Windows,,Malware,
